Titulo,Review,TipoViaje,Calificacion,OrigenAutor,FechaOpinion,FechaEstadia
Visita obligada,"Vale mucho la pena conocerla, entrar y verla. Visita obligada si s eva al zocalo capitalino. En mi opimnion majestuosa.",,4,,28 de mayo de 2018,dic de 2017
Impresiona,Independiente de la religión... Vale la pena visitarla x lo llamativo de su construcción y detalles... Es muy grande y un detalle q nunca vi es una altar muy en la entrada en detalles dorados que tiene en su parte alta un órgano... Y detrás de esta gran estructura otro altar... Muy llamativo,,5,,25 de mayo de 2018,may de 2018
Esperaba algo mas,"Realmente la Catedral Metropolitana es una excelente obra de arte. Pero esta un poco descuidada, en refacción.",,3,"Mendoza, Argentina",24 de mayo de 2018,may de 2018
"Un edificio imponente, muestra de la mezcla de culturas","Está endeble, por los hundimientos y terremotos, sin embargo es imponente y muestra la capacidad del ser humano por construir obras de arte, a veces sin la tecnología. Tambien permite ver lo que la fe es capaz de hacer en las personas, al contruir tan bellos retablos, para honrar a los santos y a Dios.Un ""must"" en la visita al zócalo de la CDMX.",,5,"Cancún, Quintana Roo, Mexico",24 de mayo de 2018,dic de 2017
IMPONENTE!!!,"Preciosa Catedral, muy bien cuidada y llena de gran valor arquitectónico y cultural, sus grabados y esculturas a la entrada son imponentes y dignas de cientos de fotografias, es otro lugar IMPERDIBLE!!!",,5,"Cochabamba, Bolivia",23 de mayo de 2018,may de 2018
Majestuosa,"Siempre será interesante conocer una catedral, templo, admirar su estructura, arquitectura y diseño pero ver en esta, los cimientos, la historia que guarda, es maravilloso.",,5,"Santiago de Querétaro, México",21 de mayo de 2018,may de 2018
Es una catedral muy bonita.,"Tiene muchas imágenes y cada una de ellas cuenta con una historia bastante interesante, me gusta mucho cómo está construida, me pareció bastante interesante. ",,4,"Uruapan, México",18 de mayo de 2018,abr de 2018
es un hermoso lugar,"es un lugar muy bonito, su estructura arquitectonica muy hermosa, esta muy grande el lugar y super hermoso ",,5,,18 de mayo de 2018,abr de 2018
un templo sobre el templo,este tema construido catolico esta construido sobre templos de pueblos mexixanos de antaño. los mexicas fueron ocultados por estas nuevas construcciones de las civilizaciones traídas desde europa. es una de las edificaciones mas grandes cercanas al zocalo. es muy lindo poder recorrerlas y apreciar la magnitud de sus detalles. tener en cuenta que tiene movimientos constantes y es por eso que párese que se encuentra en falza escuadra . los pisos esta ondulado por estos movimientos. el arte sacro es inigualable. la belleza de las obras que se encuentran alli son unas de las mas antiguas de america. ,,5,"San Miguel, Argentina",15 de mayo de 2018,ene de 2018
La Catedral,"Muy bonita e histórica, tiene muchas imágenes con leyendas que debes escuchar. Puedes adquirir recuerdos dentro del la Catedral sin problemas. ",,5,"Lima, Perú",15 de mayo de 2018,may de 2018
Imperdible,"Uno de los tantos edificios historicos que hay por visitar en la ciudad de México. Es impresionante recorrer sus pasillos y capillas. El organo en su interior es imponente. Tiene un péndulo de Foucault que permite visualizar la hundimiento que ha sufrido a través de los años, así como los esfuerzos que se han hecho para revertirlo.",,5,"Cabo San Lucas, México",14 de mayo de 2018,mar de 2018
Amazing,Relajante y atractivo lugar para que sea conocida por extranjeros que buscan parte de nuestra historia y que se lleven un bello y armónico recuerdo. ,,5,"Atizapán de Zaragoza, México",14 de mayo de 2018,may de 2018
Hermosa,"La Catedral de Ciudad de México es muy grande y hermosa. Debido al tipo de piso que tiene la ciudad se está hundiendo. Recomiendo visitarla porque es muy curioso ver los detalles que posee su estructura, los estilos artísticos presentes y el sentido de trascendencia que posee la Catedral. Sin dudas volveré!",,5,Argentina,13 de mayo de 2018,mar de 2018
Un referente en la arquitectura colonial en México,"""Si no conoces la Catedral, no conoces el centro de la CDMX. Imponente construcción, símbolo de la riqueza histórica y cultural de esta gran megalópoli. ¡No te la pierdas! ",,5,"San Miguel de Allende, México",10 de mayo de 2018,may de 2018
MONUMENTAL EDIFICACION HISTORICA,"Decir que su construcción llevó más de 3 siglos habla a las claras de la magnitud de la obra, Recorrer sus pasillos, admirar todo su contenido, desde las capillas, pasando por el enorme organo y su altar, es una maravilla y si además sos creyente le encontras otro tipo de sentido a tu visita. Es una de las visitas obligadas si vas a CDMX y obviamente si pasas por el Zocalo.",,5,"Tandil, Argentina",7 de mayo de 2018,abr de 2018
Bonita ,"Es una iglesia muy bonita y grande lo único de malo que si hay misa no te dejan tomar fotos, pero puedes entrar  y ver todo lo que tiene en silencio",,5,"Mérida, México",6 de mayo de 2018,may de 2018
Lugar histórico,"Una obra de arte por dentro y fuera, se me hizo muy parecida a la catedral de Puebla, pero definitivamente es visita obligada si ya andas en el centro.",,5,"Puebla, México",3 de mayo de 2018,may de 2018
De las iglesias mas lindas del mundo mundial,"admiro cada parte de esta catedral, por su tamaño, por sus altares, que tal las pinturas de su techos, el gran organo de tubos realemente cada espacio es espectacular vale la pena dedicarle unos minutos de tu visita al zocalo, por que como esta iglesia pocas en el mundo empezando por su tamaño.",,5,"Cali, Colombia",27 de abril de 2018,abr de 2018
Mi primera impresion fue sublime,"Este fue el primer lugar que fui cuando llegue a Mexico, me encanto y me recordo todas las iglesias y catedrales que he visitado en toda America. Guarda la misma esencia y espiritualidad de todos los lugares. La belleza es impresionante  y la fuerza del lugar es genial",,5,"San Salvador, El Salvador",23 de abril de 2018,abr de 2018
Vista arruinada,La imponente vista de esta catedral queda arruinada por la constante actividad que realizan en la plaza seca frente a la catedral y a la casa de gobierno. Siempre hay algo puesto en esa plaza. Fui mil veces a CDMX y nunca la encontré vacía donde se pueda contemplar los edificios magnificos que la rodean. No se pude admirar bien el tamaño inmenso de la bandera. En mi opinion una lastima. Deberían dejar siempre vacío ese lugar.,,3,"Buenos Aires, Argentina",23 de abril de 2018,abr de 2018
Imponente ,La catedral de la Ciudad de México es un monumento histórico invitada Reinier ve en todos interior puedes encontrar grandes obras de arte adicional puedes ver la arquitectura exterior con un estilo barroco que realmente se nota desde toda la plaza del centro histórico importante mencionar que esta zona tiene hundimientos naturales razón por la cual esta catedral 50 inclinada y si está hundiendo pero es sin duda un lugar obligado a visitar si es que estás en el centro histórico,,5,"Ciudad de México, México",19 de abril de 2018,abr de 2018
Un lugar único,"La Catedral Metropolitana de la Asunción de la Santísima Virgen María a los cielos de Ciudad de México es la sede de la Arquidiócesis Primada de México y sin dudas un lugar IMPERDIBLE para cualquier turista en la CDMX; está ubicada al frente de la Plaza de la Constitución en el Centro Histórico de la Ciudad de México, en la Delegación Cuauhtémoc; forma parte del mencionado conjunto arquitectónico en esa área de la ciudad y por ello es  Patrimonio de la humanidad desde 1987.",,5,Capital Federal - Argentina,15 de abril de 2018,abr de 2018
Magnifica,Hermosa es la catedral y si eres creyente es bueno de vez en cuanto ir temprano a escuchar misa y después puedes ir a desayunar cerca de ahí. Es una experiencia muy agradable.,,5,df,12 de abril de 2018,dic de 2017
Magna,"Adentrarse en esta bella construcción te hará darte cuenta que un mismo lugar puede tener infinidad de elementos que te harán admirarla, pues a cada paso podrás descubrir características de la religión católica que querrás coleccionar en tu memoria. ",,5,,3 de abril de 2018,ene de 2018
Lugar Emblematico que no puedes dejar de visitar en la CDMX,"Aqui puedes llegar a subirte al campanario y conocer la historia de su construcción y de cada una de las companas que la componen, pero sobre todo apreciar las vistas al zócalo, son increibles.El altar mayor y el gran organo son magestuosos, su arquitectura como esculturas son asombrosas. No dejes de visitar éste lugar ubicado en el corazón de la Ciudad.",,5,,2 de abril de 2018,feb de 2018
Visitas Magicas,"Si una sola visita no te dejo satisfecho como a mi, opté por la visita al campanario que es muy económica, eso dejo aún más inquietudes sobre este lugar, me enteré de unas visitas después del cierre del horario habitual, este recorrido es guiado y por diferentes capillas, el altar principal y otros rincones, una visita más al órgano monumental, una visita más a las pinturas de Murillo, y aún me falta un recorrido nocturno con personajes y música con cánticos!!!!Por la variedad de horarios, la variedad de recorridos y visitas para conocer por todos los rincones un lugar mágico como este!!!!!",,5,"Ciudad de México, México",1 de abril de 2018,abr de 2018
Belleza y arte,"De los sitios más espectaculares de mi ciudad, increíble arte sacro, el solo entrar es una experiencia que llena los sentidos. Sus cúpulas y su ambiente transportan a la época de la colonia. ",,5,,28 de marzo de 2018,mar de 2018
Si van al Zócalo tienen que ir (its a must),"Si deciden dar una vuelta por el Zócalo, tienen que ir a la Catedral. Si tienen suerte, podrán escuchar al coro!",,5,"Huixquilucan, México",27 de marzo de 2018,mar de 2018
De lujo!,"Me encanto, la verdad es que si vienen a México tienen que recorrer el zócalo, hay museos increíbles, y que más decir se esta catedral, increíble!!!!!",,5,,27 de marzo de 2018,mar de 2018
Majestuosa ,Una obra de arquitectura que Eriza la piel. Un monumento. Muy hermosa. Impresionante el tamaño de esta catedral. Un punto infaltable de visita para creyentes y no creyentrs,,5,"Bogotá, Colombia",24 de marzo de 2018,mar de 2018
Imponente,"Vale la pena recorrerla, es la mas grande de America Latina...realmente imponente. Enormes iconografias, altares y órganos antiguos. Increíbles desniveles...debido a su peso, se va hundiendo en diferentes sectores.",,5,"La Plata, Argentina",24 de marzo de 2018,mar de 2018
Imponente Vista Nocturna,"Esta ocasión he tenido la oportunidad de admirar la  Catedral Metropolitana desde otra perspectiva, en el portal mercaderes y me ha resultado  Imponente la Vista Nocturna.Es un bello monumento del Barroco Novohispano que no debes perder durante tu visita a la Ciudad de México.Disfruta de la Ciudad de México...bien llamada: ""La Ciudad de los Palacios"". ¡La VIDA...es un VIAJE!",,5,"Ciudad de México, México",24 de marzo de 2018,mar de 2018
A toda gran ciudad le toca una gran Catedral.,"Es la más grande de America Latina, Hay que recorrer todas sus naves y altares son espectaculares y qwuedarse un rato sentado viendo la devoción de los feligreses",,4,,22 de marzo de 2018,nov de 2017
ENORME. AL ESTILO ESPAÑOL,"La Catedral Metropolitana de la Asunción de la Santísima Virgen María de los Cielos se encuentra en la Plaza Constitución, en el centro histórico. Nuestra visita a Ciudad de México coincidió con el aniversario de la Independencia (""El grito""), por lo que estaba todo vallado y preparando la ornamentación. Fue difícil tomar una buena fotografía de todo el entorno. Es Patrimonio de la Humanidad. Está inspitada en las catedrales españolas. En uno de los laterales vimos un grupo escultórico llamado por su autos ""Guardianes"", dentro del marco del 40° aniversario del restablecimiento    de las relaciones diplomáticas entre España y México. Todo un hallazgo.",,5,"San Salvador de Jujuy, Argentina",18 de marzo de 2018,sept de 2017
Auge del catolicismo en América Latina,"Representa sin duda el fervor creyente del pueblo mexicano. Altares enormes, pinturas, y estructuras  en mármol son de verdad toda una obra monumental.  ",,5,"Edimburgo, UK",15 de marzo de 2018,mar de 2018
